"","region1","region2","region","cases","week","year","x","y","SIG_CD"
"203","강원","동해시","강원-동해시",9,1,2025,129.0555688,37.5066814,42170
"204","강원","동해시","강원-동해시",8,2,2025,129.0555688,37.5066814,42170
"205","강원","동해시","강원-동해시",2,3,2025,129.0555688,37.5066814,42170
"206","강원","동해시","강원-동해시",3,4,2025,129.0555688,37.5066814,42170
"207","강원","동해시","강원-동해시",0,5,2025,129.0555688,37.5066814,42170
"208","강원","동해시","강원-동해시",2,6,2025,129.0555688,37.5066814,42170
"209","강원","동해시","강원-동해시",0,7,2025,129.0555688,37.5066814,42170
"210","강원","동해시","강원-동해시",0,8,2025,129.0555688,37.5066814,42170
"211","강원","동해시","강원-동해시",0,9,2025,129.0555688,37.5066814,42170
"212","강원","동해시","강원-동해시",0,10,2025,129.0555688,37.5066814,42170
"213","강원","동해시","강원-동해시",0,11,2025,129.0555688,37.5066814,42170
"214","강원","동해시","강원-동해시",0,12,2025,129.0555688,37.5066814,42170
"215","강원","동해시","강원-동해시",0,13,2025,129.0555688,37.5066814,42170
"216","강원","동해시","강원-동해시",0,1,2024,129.0555688,37.5066814,42170
"217","강원","동해시","강원-동해시",0,2,2024,129.0555688,37.5066814,42170
"218","강원","동해시","강원-동해시",0,3,2024,129.0555688,37.5066814,42170
"219","강원","동해시","강원-동해시",0,4,2024,129.0555688,37.5066814,42170
"220","강원","동해시","강원-동해시",0,5,2024,129.0555688,37.5066814,42170
"221","강원","동해시","강원-동해시",0,6,2024,129.0555688,37.5066814,42170
"222","강원","동해시","강원-동해시",0,7,2024,129.0555688,37.5066814,42170
"223","강원","동해시","강원-동해시",0,8,2024,129.0555688,37.5066814,42170
"224","강원","동해시","강원-동해시",0,9,2024,129.0555688,37.5066814,42170
"225","강원","동해시","강원-동해시",0,10,2024,129.0555688,37.5066814,42170
"226","강원","동해시","강원-동해시",0,11,2024,129.0555688,37.5066814,42170
"227","강원","동해시","강원-동해시",0,12,2024,129.0555688,37.5066814,42170
"228","강원","동해시","강원-동해시",0,13,2024,129.0555688,37.5066814,42170
"229","강원","동해시","강원-동해시",0,14,2024,129.0555688,37.5066814,42170
"230","강원","동해시","강원-동해시",0,15,2024,129.0555688,37.5066814,42170
"231","강원","동해시","강원-동해시",0,16,2024,129.0555688,37.5066814,42170
"232","강원","동해시","강원-동해시",0,17,2024,129.0555688,37.5066814,42170
"233","강원","동해시","강원-동해시",0,18,2024,129.0555688,37.5066814,42170
"234","강원","동해시","강원-동해시",0,19,2024,129.0555688,37.5066814,42170
"235","강원","동해시","강원-동해시",0,20,2024,129.0555688,37.5066814,42170
"236","강원","동해시","강원-동해시",0,21,2024,129.0555688,37.5066814,42170
"237","강원","동해시","강원-동해시",0,22,2024,129.0555688,37.5066814,42170
"238","강원","동해시","강원-동해시",0,23,2024,129.0555688,37.5066814,42170
"239","강원","동해시","강원-동해시",0,24,2024,129.0555688,37.5066814,42170
"240","강원","동해시","강원-동해시",0,25,2024,129.0555688,37.5066814,42170
"241","강원","동해시","강원-동해시",0,26,2024,129.0555688,37.5066814,42170
"242","강원","동해시","강원-동해시",0,27,2024,129.0555688,37.5066814,42170
"243","강원","동해시","강원-동해시",0,28,2024,129.0555688,37.5066814,42170
"244","강원","동해시","강원-동해시",0,29,2024,129.0555688,37.5066814,42170
"245","강원","동해시","강원-동해시",0,30,2024,129.0555688,37.5066814,42170
"246","강원","동해시","강원-동해시",0,31,2024,129.0555688,37.5066814,42170
"247","강원","동해시","강원-동해시",0,32,2024,129.0555688,37.5066814,42170
"248","강원","동해시","강원-동해시",0,33,2024,129.0555688,37.5066814,42170
"249","강원","동해시","강원-동해시",0,34,2024,129.0555688,37.5066814,42170
"250","강원","동해시","강원-동해시",0,35,2024,129.0555688,37.5066814,42170
"251","강원","동해시","강원-동해시",0,36,2024,129.0555688,37.5066814,42170
"252","강원","동해시","강원-동해시",0,37,2024,129.0555688,37.5066814,42170
"253","강원","동해시","강원-동해시",0,38,2024,129.0555688,37.5066814,42170
"254","강원","동해시","강원-동해시",0,39,2024,129.0555688,37.5066814,42170
"255","강원","동해시","강원-동해시",0,40,2024,129.0555688,37.5066814,42170
"256","강원","동해시","강원-동해시",0,41,2024,129.0555688,37.5066814,42170
"257","강원","동해시","강원-동해시",0,42,2024,129.0555688,37.5066814,42170
"258","강원","동해시","강원-동해시",0,43,2024,129.0555688,37.5066814,42170
"259","강원","동해시","강원-동해시",0,44,2024,129.0555688,37.5066814,42170
"260","강원","동해시","강원-동해시",0,45,2024,129.0555688,37.5066814,42170
"261","강원","동해시","강원-동해시",0,46,2024,129.0555688,37.5066814,42170
"262","강원","동해시","강원-동해시",4,47,2024,129.0555688,37.5066814,42170
"263","강원","동해시","강원-동해시",34,48,2024,129.0555688,37.5066814,42170
"264","강원","동해시","강원-동해시",59,49,2024,129.0555688,37.5066814,42170
"265","강원","동해시","강원-동해시",81,50,2024,129.0555688,37.5066814,42170
"266","강원","동해시","강원-동해시",53,51,2024,129.0555688,37.5066814,42170
"267","강원","동해시","강원-동해시",35,52,2024,129.0555688,37.5066814,42170
"268","강원","동해시","강원-동해시",0,23,2025,129.0555688,37.5066814,42170
"269","강원","동해시","강원-동해시",0,24,2025,129.0555688,37.5066814,42170
"270","강원","동해시","강원-동해시",0,25,2025,129.0555688,37.5066814,42170
"271","강원","동해시","강원-동해시",0,26,2025,129.0555688,37.5066814,42170
"272","강원","동해시","강원-동해시",0,27,2025,129.0555688,37.5066814,42170
"273","강원","동해시","강원-동해시",0,28,2025,129.0555688,37.5066814,42170
"274","강원","동해시","강원-동해시",0,29,2025,129.0555688,37.5066814,42170
"275","강원","동해시","강원-동해시",0,30,2025,129.0555688,37.5066814,42170
"276","강원","동해시","강원-동해시",0,31,2025,129.0555688,37.5066814,42170
"277","강원","동해시","강원-동해시",0,32,2025,129.0555688,37.5066814,42170
"278","강원","동해시","강원-동해시",0,33,2025,129.0555688,37.5066814,42170
"279","강원","동해시","강원-동해시",0,34,2025,129.0555688,37.5066814,42170
"280","강원","동해시","강원-동해시",0,35,2025,129.0555688,37.5066814,42170
"281","강원","동해시","강원-동해시",0,36,2025,129.0555688,37.5066814,42170
"282","강원","동해시","강원-동해시",0,37,2025,129.0555688,37.5066814,42170
"283","강원","동해시","강원-동해시",0,38,2025,129.0555688,37.5066814,42170
"284","강원","동해시","강원-동해시",0,39,2025,129.0555688,37.5066814,42170
"285","강원","동해시","강원-동해시",0,40,2025,129.0555688,37.5066814,42170
"286","강원","동해시","강원-동해시",0,41,2025,129.0555688,37.5066814,42170
"287","강원","동해시","강원-동해시",0,42,2025,129.0555688,37.5066814,42170
"288","강원","동해시","강원-동해시",0,43,2025,129.0555688,37.5066814,42170
"289","강원","동해시","강원-동해시",0,44,2025,129.0555688,37.5066814,42170
"290","강원","동해시","강원-동해시",0,45,2025,129.0555688,37.5066814,42170
"291","강원","동해시","강원-동해시",0,22,2025,129.0555688,37.5066814,42170
"292","강원","삼척시","강원-삼척시",0,24,2024,129.12171,37.27748089,42230
"293","강원","삼척시","강원-삼척시",0,25,2024,129.12171,37.27748089,42230
"294","강원","삼척시","강원-삼척시",0,26,2024,129.12171,37.27748089,42230
"295","강원","삼척시","강원-삼척시",0,28,2024,129.12171,37.27748089,42230
"296","강원","삼척시","강원-삼척시",0,29,2024,129.12171,37.27748089,42230
"297","강원","삼척시","강원-삼척시",0,30,2024,129.12171,37.27748089,42230
"298","강원","삼척시","강원-삼척시",0,31,2024,129.12171,37.27748089,42230
"299","강원","삼척시","강원-삼척시",0,32,2024,129.12171,37.27748089,42230
"300","강원","삼척시","강원-삼척시",1,33,2024,129.12171,37.27748089,42230
"301","강원","삼척시","강원-삼척시",0,34,2024,129.12171,37.27748089,42230
"302","강원","삼척시","강원-삼척시",0,35,2024,129.12171,37.27748089,42230
"303","강원","삼척시","강원-삼척시",0,36,2024,129.12171,37.27748089,42230
"304","강원","삼척시","강원-삼척시",0,37,2024,129.12171,37.27748089,42230
"305","강원","삼척시","강원-삼척시",0,38,2024,129.12171,37.27748089,42230
"306","강원","삼척시","강원-삼척시",0,39,2024,129.12171,37.27748089,42230
"307","강원","삼척시","강원-삼척시",0,27,2024,129.12171,37.27748089,42230
"308","강원","삼척시","강원-삼척시",0,1,2024,129.12171,37.27748089,42230
"309","강원","삼척시","강원-삼척시",0,2,2024,129.12171,37.27748089,42230
"310","강원","삼척시","강원-삼척시",0,3,2024,129.12171,37.27748089,42230
"311","강원","삼척시","강원-삼척시",0,4,2024,129.12171,37.27748089,42230
"312","강원","삼척시","강원-삼척시",0,5,2024,129.12171,37.27748089,42230
"313","강원","삼척시","강원-삼척시",0,6,2024,129.12171,37.27748089,42230
"314","강원","삼척시","강원-삼척시",0,7,2024,129.12171,37.27748089,42230
"315","강원","삼척시","강원-삼척시",0,8,2024,129.12171,37.27748089,42230
"316","강원","삼척시","강원-삼척시",0,9,2024,129.12171,37.27748089,42230
"317","강원","삼척시","강원-삼척시",0,10,2024,129.12171,37.27748089,42230
"318","강원","삼척시","강원-삼척시",0,11,2024,129.12171,37.27748089,42230
"319","강원","삼척시","강원-삼척시",0,12,2024,129.12171,37.27748089,42230
"320","강원","삼척시","강원-삼척시",0,13,2024,129.12171,37.27748089,42230
